id,expert_id,question,answer,project_id,organization_id,source_email_id,possibility_fraudulent,source_project_question_id,order,ai_match_score,excluded
049faf35-1505-4b8e-aa57-e075375b5483,dda7562b-3e3d-4644-aace-b68c98b9990c,What key market or policy trends have influenced your strategic planning recently?,No reply,e255a3f2-6a7a-4a18-a4e4-d37216284b9f,c988949f-d1ff-11ef-9e50-9afa7bdc3275,27f1cd6c-2614-4c6b-82e1-9694ec6886a7,0,c23fd73e-5b82-4168-896f-f09a663faaef,,,false
06f30193-ff7c-424e-83c1-2300c6876712,9e582ee1-5eea-4a1f-b7b8-06904f345890,Can you share how data insights have driven strategic decisions?,Detailed customer segmentation and behavioral analytics have informed targeted marketing strategies.,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b,0,c4016918-28fc-4dd7-8a1b-dd38c1b19612,3,,false
08934951-f81b-43ac-86cd-51ef6fef7568,58bac28a-b152-417b-b255-12917c5e45e7,Have you led any AI integration projects in the past 12 months?,"Yes, I recently oversaw an AI pilot in patient diagnostics.",04049c5d-99fb-401e-a346-1975413934d9,c988949f-d1ff-11ef-9e50-9afa7bdc3275,2adc0a39-f34c-4110-a9cd-da0701097b8f,0,8f9e2f11-031a-45b3-a28e-03f88afac24c,2,,false
08e358e2-243d-4f2e-9338-79ac590905a3,98d6da9b-3241-4045-bb62-c8bbb26a07fb,Which AI projects have you led in clinical settings?,I have implemented AI for radiology and predictive patient care.,04049c5d-99fb-401e-a346-1975413934d9,c988949f-d1ff-11ef-9e50-9afa7bdc3275,2adc0a39-f34c-4110-a9cd-da0701097b8f,0,8f9e2f11-031a-45b3-a28e-03f88afac24c,1,,false
096511df-10a7-4efc-bf4e-2df65e56a843,779dd2a4-40ce-4291-99d2-9cf9cbac05eb,What metrics do you find most critical when evaluating customer satisfaction?,"NPS, Customer Lifetime Value (CLV), and conversion rate.",786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b,0,4585554f-d345-4fe8-8322-e8e80047f102,3,,false
096e9366-ff9d-4502-a918-a6072c1033d8,342cfab6-44df-4a16-9753-d749fddcb9b5,Can you detail how technological advancements have impacted project outcomes?,Advanced analytics and automation systems have transformed our maintenance processes.,e255a3f2-6a7a-4a18-a4e4-d37216284b9f,c988949f-d1ff-11ef-9e50-9afa7bdc3275,27f1cd6c-2614-4c6b-82e1-9694ec6886a7,0,00e8a445-63f2-42ef-b1ed-85d2d51e8e9e,,,false
0adaebfd-ddbf-43bf-a25e-b57d417f9acf,df73d315-0aab-417d-9cc7-ef7946fc910f,What segments do you cover?,"Mobile banking, digital payments, and blockchain.",21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f,0,,4,,false
0d269f22-547f-428b-ac4d-a47c4d6defe6,704fc6c5-0099-4b95-8c7d-e500db5988cb,Have you led initiatives to enhance supply chain resilience in the past year?,"Yes, I introduced predictive analytics to anticipate supply disruptions.",b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675,0,58076e47-6207-4544-865f-ed8d900f57e7,2,,false
0da72f49-0ee5-48db-9428-5c92fd105abf,98d6da9b-3241-4045-bb62-c8bbb26a07fb,Are you involved in selecting or implementing AI-based solutions in your organization?,No reply,04049c5d-99fb-401e-a346-1975413934d9,c988949f-d1ff-11ef-9e50-9afa7bdc3275,2adc0a39-f34c-4110-a9cd-da0701097b8f,0,b8446be7-7d39-4694-80c7-86147e88ab91,,,false
0e242fbc-c92d-4541-85a3-59caa6a88eb1,79e25b5e-34cd-42ef-a807-161534da8902,Can you discuss the challenges and successes in integrating emerging technologies like blockchain?,No reply,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f,0,072dbf79-6f98-4ae8-97a6-871250815e06,,,false
0eed9b31-5698-4f2e-b49b-ab6788fa797d,8b8207d8-b138-458f-80a8-da5aa17ddc2e,Have you implemented digital tools or analytics to optimize supply chain performance recently?,"Yes, we recently deployed a cloud-based analytics platform.",b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675,0,f41a8511-5e51-4bab-ab87-7d7502bc1cc5,2,,false
0f29aea1-1b6f-4aa8-b70c-5d7a1d393e77,75f95df7-caf0-4ec6-9b68-4a03c00acb93,Have you overseen the launch or evolution of digital banking products in the past year?,No reply,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f,0,f302e2ea-790a-4d0e-a3cb-a41798c764c2,,,false
129e5a1f-69cd-4eab-8ed8-06f7fc956d31,d91a4faf-c94c-438e-8270-d76014648895,What initiatives have you led to improve customer engagement?,I implemented real-time personalization and unified customer data platforms.,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b,0,75620d87-5957-48b9-9352-186477e8254c,1,,false
12ae3337-07a8-4d48-b0cc-2cfce3d5856c,f953b54f-95fd-4efa-8308-1de45ae8883d,Have you implemented any major customer engagement initiatives recently?,"Yes, our latest personalization initiative improved customer satisfaction by 20%.",786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b,0,75620d87-5957-48b9-9352-186477e8254c,2,,false
